"","coords_from_city","state_code","county","FIPS","latitude","longitude","cty_id","Median_Age","Dpercent_2008","Rpercent_2008","Dvote_2008","Rvote_2008","Dpercent_2012","Rpercent_2012","Dvote_2012","Rvote_2012","County_Category_2008","County_Category_2012","overall_LS","percent_female","population_density","percent_white","percent_hispanic","percent_black","mean_income","log_mean_income","percent_asian","percent_bachelors","median_income","Rpercent_diff_squared","Rpercent_diff_abs"
"51","Montgomery","AL","Montgomery County",1101,32.36681,-86.29997,1101,34.9,59.4,40.1,62166,42031,61.9,37.6,62993,38283,1,1,3.3845637435,52.4,292.5,41.2,2.1,54.3,61514,11.027,1.4,30.5,43015,NA,NA
"52","Decatur","AL","Morgan County",1103,34.60593,-86.98334,1103,39,27.5,71.3,13895,36014,27.2,71.8,13401,35309,3,3,3.3986850987,50.7,206.3,78.9,6.6,12,56135,10.9355,0.8,19.6,42913,NA,NA
"53","Marion","AL","Perry County",1105,32.63235,-87.31917,1105,37.2,72.4,27.3,4457,1679,74.8,24.8,4536,1504,1,1,NA,53,14.7,31.1,1.3,67.5,35854,10.4872,0.1,11.6,26270,NA,NA
"54","Aliceville","AL","Pickens County",1107,33.12957,-88.15142,1107,41.9,45.6,54,4594,5434,46.3,53.3,4448,5119,2,2,3.3652997796,52.3,22.4,55.9,1.1,42.3,38349,10.5545,0.1,12.3,27150,NA,NA
"55","Troy","AL","Pike County",1109,31.80877,-85.96995,1109,31.4,42.1,57.4,5879,8004,42.7,56.5,6009,7939,3,3,3.3749345778,52.3,48.9,58.2,1.9,37.3,43845,10.6884,0.8,22.2,28065,NA,NA
"56","Roanoke","AL","Randolph County",1111,33.15123,-85.37217,1111,41.2,29.5,69,3064,7175,29.6,69.5,3076,7219,3,3,3.3540527909,51.5,39.5,74.9,2,22,49816,10.8161,0.4,13.1,35137,NA,NA
"57","Phenix City","AL","Russell County",1113,32.47098,-85.00077,1113,35.8,53.3,46,10085,8705,55.6,43.9,10495,8276,2,1,3.3800270494,52.2,82.6,53.2,3.2,41.7,41817,10.6411,0.7,11.9,32064,NA,NA
"58","Pell City","AL","St Clair County",1115,33.58621,-86.28609,1115,38.6,17.8,81,6091,27649,16.5,82.6,5790,29001,3,3,3.4135427494,49.9,132.3,87.4,1.6,9.4,57904,10.9665,0.4,14.5,48425,NA,NA
"59","Alabaster","AL","Shelby County",1117,33.24428,-86.81638,1117,36.9,22.8,76.2,20625,69060,21.6,77.3,19944,71243,3,3,3.4446798624,51,248.5,82.6,4.3,10.6,87011,11.3738,1.5,39.9,67534,NA,NA
"60","Livingston","AL","Sumter County",1119,32.5843,-88.18725,1119,37.7,75,24.7,5264,1731,77.2,22.6,5420,1585,1,1,3.3742832565,54.5,15.2,26.3,1.5,72.1,32562,10.3909,0.1,12.1,20994,NA,NA
"61","Talladega","AL","Talladega County",1121,33.43594,-86.1058,1121,39.3,40.2,58.8,13779,20112,41.7,57.7,13878,19217,3,3,3.3472618544,51.3,111.7,65.5,1.5,31.8,46563,10.7486,0.4,11.8,35865,NA,NA
"62","Alexander City","AL","Tallapoosa County",1123,32.94401,-85.95385,1123,42.4,31.4,67.9,6063,13116,33.5,65.9,6252,12303,3,3,3.3208819542,51.5,58.1,71.9,1.3,25.8,55323,10.9209,0.3,15.7,36637,NA,NA
"63","Tuscaloosa","AL","Tuscaloosa County",1125,33.20984,-87.56917,1125,31.2,41.6,57.5,32796,45405,40.8,58.2,32003,45703,3,3,3.3698720405,51.5,147.3,64.6,2,31.2,55804,10.9296,1.2,26.9,39579,NA,NA
"64","Jasper","AL","Walker County",1127,33.83122,-87.27751,1127,41.2,25.9,72.3,7420,20722,23,75.9,6551,21633,3,3,3.325428087,51.3,84.7,90.4,1.7,6.6,49091,10.8014,0.3,9.8,36708,NA,NA
"65","Chatom","AL","Washington County",1129,31.46517,-88.25446,1129,39.7,35,64.4,3067,5654,33.9,65.6,2971,5749,3,3,3.3920655879,50.8,16.3,64.5,1.1,25.8,46137,10.7394,0.1,9,34738,NA,NA
"66","Camden","AL","Wilcox County",1131,31.99098,-87.29055,1131,38.8,71,28.8,4612,1868,74.3,25.6,4867,1676,1,1,NA,52.7,13.1,27,1.2,71.8,33296,10.4132,0.1,17,22006,NA,NA
"67","Haleyville","AL","Winston County",1133,34.22649,-87.62141,1133,43.1,17.5,80.8,1757,8103,13.2,85.6,1286,8310,3,3,3.3676499509,50.9,39.9,94.6,2.9,1,42241,10.6511,0.2,11.7,29818,NA,NA
"68","Juneau","AK","Juneau",2110,58.30194,-134.41972,2110,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,11.6,69.1,5.1,1.1,89329,11.4001,5.8,35.8,76437,NA,NA
"69","Ketchikan","AK","Ketchikan Gateway",2130,55.34222,-131.64611,2130,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,2.8,68.6,3.9,1.1,67829,11.1247,5.7,24.1,57500,NA,NA
