,cand_nm,economic_region,contb_receipt_dt_format,contb_receipt_amt
145,"Obama, Barack",Far West,2012-01-20 00:00:00,-1490.0
146,"Obama, Barack",Far West,2012-01-21 00:00:00,-8280.0
147,"Obama, Barack",Far West,2012-01-23 00:00:00,-2249.0
148,"Obama, Barack",Far West,2012-01-25 00:00:00,-150.0
149,"Obama, Barack",Far West,2012-01-26 00:00:00,-240.0
150,"Obama, Barack",Far West,2012-01-27 00:00:00,-1880.0
151,"Obama, Barack",Far West,2012-01-28 00:00:00,-500.0
152,"Obama, Barack",Far West,2012-01-30 00:00:00,-300.0
153,"Obama, Barack",Far West,2012-01-31 00:00:00,-402.0
154,"Obama, Barack",Far West,2012-02-01 00:00:00,-100.0
155,"Obama, Barack",Far West,2012-02-02 00:00:00,-7305.0
156,"Obama, Barack",Far West,2012-02-03 00:00:00,-500.0
157,"Obama, Barack",Far West,2012-02-06 00:00:00,-920.0
158,"Obama, Barack",Far West,2012-02-07 00:00:00,-10785.0
159,"Obama, Barack",Far West,2012-02-08 00:00:00,-5783.0
160,"Obama, Barack",Far West,2012-02-09 00:00:00,-250.0
161,"Obama, Barack",Far West,2012-02-10 00:00:00,-1090.0
162,"Obama, Barack",Far West,2012-02-12 00:00:00,-5000.0
163,"Obama, Barack",Far West,2012-02-13 00:00:00,-4330.0
164,"Obama, Barack",Far West,2012-02-14 00:00:00,-2002.0
165,"Obama, Barack",Far West,2012-02-20 00:00:00,-150.0
166,"Obama, Barack",Far West,2012-02-21 00:00:00,-5400.0
167,"Obama, Barack",Far West,2012-02-22 00:00:00,-250.0
168,"Obama, Barack",Far West,2012-02-23 00:00:00,-11110.0
169,"Obama, Barack",Far West,2012-02-27 00:00:00,-397.0
170,"Obama, Barack",Far West,2012-02-28 00:00:00,-701.0
171,"Obama, Barack",Far West,2012-02-29 00:00:00,-2600.0
172,"Obama, Barack",Far West,2012-03-01 00:00:00,-3210.0
173,"Obama, Barack",Far West,2012-03-02 00:00:00,-9845.0
174,"Obama, Barack",Far West,2012-03-06 00:00:00,-7330.0
175,"Obama, Barack",Far West,2012-03-07 00:00:00,-850.0
176,"Obama, Barack",Far West,2012-03-08 00:00:00,-3830.0
177,"Obama, Barack",Far West,2012-03-09 00:00:00,-700.0
178,"Obama, Barack",Far West,2012-03-12 00:00:00,-1000.0
179,"Obama, Barack",Far West,2012-03-13 00:00:00,-1110.0
180,"Obama, Barack",Far West,2012-03-14 00:00:00,-300.0
181,"Obama, Barack",Far West,2012-03-15 00:00:00,-2775.0
182,"Obama, Barack",Far West,2012-03-16 00:00:00,-856.0
183,"Obama, Barack",Far West,2012-03-19 00:00:00,-1209.0
184,"Obama, Barack",Far West,2012-03-20 00:00:00,-5115.0
185,"Obama, Barack",Far West,2012-03-21 00:00:00,-4758.0
186,"Obama, Barack",Far West,2012-03-22 00:00:00,-900.0
187,"Obama, Barack",Far West,2012-03-23 00:00:00,-200.0
188,"Obama, Barack",Far West,2012-03-26 00:00:00,-5000.0
189,"Obama, Barack",Far West,2012-03-29 00:00:00,-4925.0
190,"Obama, Barack",Far West,2012-03-30 00:00:00,-610.0
